,Code,SMILES
76,AW00194,ClC1=C(N=CC(C(F)(F)F)=C1)N(CCC2)CCN2C(NC3=CC=CC=C3)=S
77,EN00006,O=C(NNC(NC(C)C)=S)[C@H]1[C@H](CC2)O[C@H]2C1
78,EN00023,ClC1=C(N=CC(C(F)(F)F)=C1)N(CCC2)CCN2C(NC3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=S
79,EN00034,O=C(NC(C=C1)=CC=C1OC(F)(F)F)NC2=CC=C(C=C2)C3=NCCO3
80,EN00061,FC(F)(F)C1=CC=CN=C1NCCNC=C(C(OCC)=O)C(OCC)=O
81,EN00101,ClC1=CC(C(F)(F)F)=CN=C1N(CCC2)CCN2CC(NC3=C(F)C=CC=C3F)=O
82,EN00147,O=C(OCC)C(C(C1=NC=C(C)C=C1)=CS2)=C2N
83,EN00190,O=C(OCC)C(C(C1=CC=C(F)C=C1)=CS2)=C2N
84,EN00209,NC1=CC=CC=C1SC2=NC=NC3=C2C(C4=CC=CC=C4)=CS3
85,EN00231,FC1=CC=C(C=C1)SC2=NC=NC3=C2C(C4=CC=CC=C4)=CS3
86,EN00009,FC(F)(F)OC(C=C1)=CC=C1OC(C=C2)=CC=C2NC(NC3=C(Cl)C=CC(Cl)=C3)=S
87,EN00024,FC(F)(F)OC1=CC=C(C=C1)OC(C=C2)=CC=C2NC(NC(C=C3)=CC=C3C(OCC)=O)=S
88,EN00040,FC(F)(F)OC1=CC=C(C=C1)OC(C=C2)=CC=C2NC(NC3CCCCCCC3)=S
89,EN00063,FC(F)(F)C1=CC=CC=C1NC(NC(C=C2)=CC=C2OC(C=C3)=CC=C3OC(F)(F)F)=S
90,EN00092,FC(F)(F)OC(C=C1)=CC=C1OC(C=C2)=CC=C2NC(NC(C=C3)=CC=C3OC(F)(F)F)=O
91,EN00102,FC(F)(F)OC(C=C1)=CC=C1OC(C=C2)=CC=C2NC(NC(C=C3)=CC(Cl)=C3F)=S
92,EN00150,CC1=NC=CC(C(F)(F)F)=C1C2=NN=C(SCC(C(C=C3)=CC=C3Cl)=O)O2
93,EN00191,FC(F)(F)C1=CC=NC(SCC(C2=CN=CC=C2)=O)=N1
94,EN00218,S=C1N(CCN1)C2=C(C(F)(F)F)C=CC=N2
95,EN00232,FC(F)(F)OC(C=C1)=CC=C1OC(C=C2)=CC=C2NC(NC3=CC=C(F)C=C3F)=O
96,EN00010,COC(C=C1)=C(C=C1Cl)NC(NC2=CC=C(OC3=CC=C(OC(F)(F)F)C=C3)C=C2)=S
97,EN00025,FC(F)(F)OC1=CC=C(C=C1)OC2=CC=C(NC(NC(C=C3)=CC=C3CCCC)=S)C=C2
98,EN00041,FC(F)(F)OC(C=C1)=CC=C1OC(C=C2)=CC=C2NC(NC3=CC(C)=CC(C)=C3)=S
99,EN00068,FC(F)(F)C1=CC=NC(SCC(NC(C=C2)=CC=C2Br)=O)=N1
100,EN00093,O=C(NC1=CC=C(OC2=CC=C(OC(F)(F)F)C=C2)C=C1)C(C=C3)=CC=C3C(F)(F)F
101,EN00107,FC(F)(F)OC(C=C1)=CC=C1OC(C=C2)=CC=C2NC(C3CC3)=O
102,EN00151,O=C(C1=CC=CO1)NC2=CC=C(C=C2)OC(C=C3)=CC=C3OC(F)(F)F
103,EN00192,FC(F)(F)OC1=CC=C(C=C1)OC2=CC=C(NC(/C=C/C(O)=O)=O)C=C2
104,EN00220,O=C(NC1=CC=C(OC2=CC=C(OC(F)(F)F)C=C2)C=C1)C3=C(F)C=CC=C3F
105,EN00233,FC(F)(F)OC1=CC=C(OC(C=C2)=CC=C2NC(C3=CC=C(Cl)C(Cl)=C3)=O)C=C1
106,EN00012,O=C(C1=CC=CC=C1O)NC2=CC=C(C=C2)OC3=CC=C(OC(F)(F)F)C=C3
